# index, label, movie_id, viz, vid, _pos
47,MARCEL,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -163.49474, 'y': 48.590527, 'z': 0.0}}",1088737,"array([2.2953941 , 4.28099489])"
48,MARCI,180,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': 16.733809, 'y': -169.0937, 'z': 0.0}}",1084644,"array([2.80006451, 4.52651666])"
49,MONICA,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -150.45396, 'y': 84.62327, 'z': 0.0}}",1088494,"array([1.88654534, 5.29576988])"
50,MONIQUE,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -56.66808, 'y': 63.664585, 'z': 0.0}}",1088705,"array([2.42044738, 4.04331098])"
51,MOTEL OWNER,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 242.93532, 'y': 237.31276, 'z': 0.0}}",1085326,"array([2.96987015, 6.82957359])"
52,MULLIGAN,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -71.8946, 'y': 88.03117, 'z': 0.0}}",1084472,"array([1.53266583, 5.74193023])"
53,NEW ACCOUNTS MANAGER,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -77.23855, 'y': -207.99341, 'z': 0.0}}",1085850,"array([2.58486409, 4.77856854])"
54,NEWSCASTER,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 41.958004, 'y': -256.43924, 'z': 0.0}}",1083467,"array([3.12237057, 5.09485103])"
55,OLIVER,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -17.697132, 'y': -65.92231, 'z': 0.0}}",1089102,"array([2.95106271, 7.29292571])"
56,PAN AM OPERATOR,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 57.279594, 'y': 247.57211, 'z': 0.0}}",1083938,"array([1.50206425, 4.41005307])"
57,PAPPA,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 133.81479, 'y': -21.970192, 'z': 0.0}}",1088882,"array([1.26732841, 4.67373657])"
58,PAULA,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.2769465, 'position': {'x': -80.00402, 'y': -68.85871, 'z': 0.0}}",1082468,"array([3.03119184, 5.93143635])"
59,PILOT,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.002759, 'position': {'x': 80.51954, 'y': -71.1183, 'z': 0.0}}",1084391,"array([1.4425428, 4.9115841])"
60,POLAROID SALESMAN,180,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': 11.244489, 'y': -220.47195, 'z': 0.0}}",1084579,"array([2.50678535, 4.50829942])"
61,PRINCIPAL EVANS,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -196.93272, 'y': -135.63107, 'z': 0.0}}",1083089,"array([3.80067758, 5.98094516])"
62,PRINT SHOP OWNER,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -76.22444, 'y': -111.5, 'z': 0.0}}",1087575,"array([3.3347034 , 5.92171053])"
63,PURCHASING SUPERVISOR,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.441447, 'position': {'x': 70.18572, 'y': 310.58398, 'z': 0.0}}",1083961,"array([1.64770933, 4.11903708])"
64,ROBERT,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.1407113, 'position': {'x': 169.98996, 'y': -42.272003, 'z': 0.0}}",1087180,"array([1.4340695 , 6.16003276])"
65,ROSS,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 64.28272, 'y': 181.13376, 'z': 0.0}}",1084009,"array([1.34569309, 5.25305161])"
66,SALESMAN,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0417533, 'position': {'x': 128.14302, 'y': 28.332903, 'z': 0.0}}",1082851,"array([2.82058607, 6.10824624])"
67,SCHOOL ADMINISTRATOR,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 146.68576, 'y': -125.30449, 'z': 0.0}}",1083161,"array([2.25721628, 4.67026607])"
68,SECRETARY,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -60.531036, 'y': 36.776577, 'z': 0.0}}",1088666,"array([2.61264694, 7.44349253])"
69,SECURITY GUARD,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': 185.46606, 'y': 53.01302, 'z': 0.0}}",1089822,"array([2.88128167, 4.83846311])"
70,SHAYE,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.005886, 'position': {'x': 150.34236, 'y': 69.253265, 'z': 0.0}}",1087926,"array([2.58220606, 6.17969183])"
71,SMASH CUT,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -16.986376, 'y': 234.6974, 'z': 0.0}}",1082286,"array([2.02040442, 6.18028457])"
72,SPECIAL AGENT WILKES,180,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0156345, 'position': {'x': 225.7395, 'y': 103.71295, 'z': 0.0}}",1085156,"array([1.82458988, 6.99499517])"
73,STUDENT,180,"{'color': {'r': 255, 'g': 220, 'b': 101, 'a': 1.0}, 'size': 5.0, 'position': {'x': 273.68158, 'y': -56.909637, 'z': 0.0}}",1083015,"array([2.03379801, 5.01239485])"
74,TEACHER,180,"{'color': {'r': 255, 'g': 220, 'b': 101, 'a': 1.0}, 'size': 5.0, 'position': {'x': 250.18517, 'y': -100.37737, 'z': 0.0}}",1083041,"array([1.77295896, 4.92039655])"
75,TICKET AGENT,180,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': 53.268818, 'y': -156.75807, 'z': 0.0}}",1084618,"array([2.63231295, 4.28130949])"
76,TICKET CLERK,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -160.63213, 'y': -129.45045, 'z': 0.0}}",1083710,"array([3.44150382, 4.77802585])"
77,TWA PILOT,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -89.17309, 'y': 47.621357, 'z': 0.0}}",1084384,"array([1.59413128, 4.67940348])"
78,WAITER,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -118.90405, 'y': -202.50154, 'z': 0.0}}",1085647,"array([2.85556381, 4.14192311])"
79,WOMAN,180,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -35.36114, 'y': -210.37468, 'z': 0.0}}",1083407,"array([2.71102909, 5.46163089])"
80,WOMAN #2,180,"{'color': {'r': 255, 'g': 102, 'b': 0, 'a': 1.0}, 'size': 5.0, 'position': {'x': -49.802334, 'y': 161.20177, 'z': 0.0}}",1086279,"array([3.30148569, 4.49833572])"
81,YOUNG DOCTOR,180,"{'color': {'r': 214, 'g': 67, 'b': 67, 'a': 1.0}, 'size': 5.0, 'position': {'x': -129.13606, 'y': -96.18775, 'z': 0.0}}",1086376,"array([2.13301922, 5.5162877 ])"
